[19:41:45:954] [Windows] [EAC Launcher] [Info] Loaded the following settings .json file: 'E:\SteamLibrary\steamapps\common\ELDEN RING\Game\EasyAntiCheat\Settings.json'
[19:41:45:954] [Windows] [EAC Launcher] [Info] Provided settings:
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - ProcessTitle: ELDEN RING™.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - ExecutablePath: eldenring.exe.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - ProductId: 773d3a68f76f4b2ebebc5b4127bbad3e.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - SandboxId: 3ef0b0eebdcd4673ba70c4cee0888bf0.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - DeploymentId: d2842e93d53b4c0c98a8f963ebb4c222.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - RequestedSplashScreen: EasyAntiCheat/SplashScreen.png.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - WaitForGameProcessExit: false.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - HideGUI: false.
[19:41:45:954] [Windows] [EAC Launcher] [Info]  - HideBootstrapper: false.
[19:41:46:481] [Windows] [EAC Launcher] [Info] Embedded resources successfully loaded.
[19:41:46:570] [Windows] [EAC Launcher] [Info] Will use the icon extracted from the game executable.
[19:41:47:638] [Windows] [EAC Launcher] [Info] Loader initializing with bootstrapper version 1.6.5.
[19:41:47:646] [Windows] [EAC Launcher] [Info] Loader component initialized.
[19:41:47:663] [Windows] [EAC Launcher] [Info] [Connection] Connecting to URL: https://modules-cdn.eac-prod.on.epicgames.com/modules/773d3a68f76f4b2ebebc5b4127bbad3e/d2842e93d53b4c0c98a8f963ebb4c222/linux64
[19:41:47:687] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:689] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:690] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:691] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:695] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:696] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:699] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:700] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:703] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:705] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:712] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:713] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:720] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:722] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:737] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:738] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:754] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:755] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:770] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:772] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:800] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:800] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:803] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:804] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:846] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:995] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:47:999] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:000] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:095] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:100] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:109] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:201] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:201] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:201] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:201] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:201] [Windows] [EAC Launcher] [Info] Current progress: 0 (0/0).
[19:41:48:303] [Windows] [EAC Launcher] [Info] Current progress: 0 (32160/7841688).
[19:41:48:303] [Windows] [EAC Launcher] [Info] Current progress: 0 (32160/7841688).
[19:41:48:307] [Windows] [EAC Launcher] [Info] Current progress: 0 (32160/7841688).
[19:41:48:307] [Windows] [EAC Launcher] [Info] Current progress: 0 (32160/7841688).
[19:41:48:352] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:352] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:356] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:356] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:360] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:360] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:364] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:364] [Windows] [EAC Launcher] [Info] Current progress: 0 (64928/7841688).
[19:41:48:368] [Windows] [EAC Launcher] [Info] Current progress: 1 (81312/7841688).
[19:41:48:368] [Windows] [EAC Launcher] [Info] Current progress: 1 (81312/7841688).
[19:41:48:372] [Windows] [EAC Launcher] [Info] Current progress: 1 (81312/7841688).
[19:41:48:372] [Windows] [EAC Launcher] [Info] Current progress: 1 (81312/7841688).
[19:41:48:376] [Windows] [EAC Launcher] [Info] Current progress: 1 (81312/7841688).
[19:41:48:376] [Windows] [EAC Launcher] [Info] Current progress: 1 (81312/7841688).
[19:41:48:380] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:380] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:384] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:384] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:388] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:388] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:392] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:392] [Windows] [EAC Launcher] [Info] Current progress: 1 (97696/7841688).
[19:41:48:396] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:396] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:400] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:400] [Windows] [EAC Launcher] [Info] Current progress: 1 (114080/7841688).
[19:41:48:408] [Windows] [EAC Launcher] [Info] Current progress: 1 (130464/7841688).
[19:41:48:408] [Windows] [EAC Launcher] [Info] Current progress: 1 (130464/7841688).
[19:41:48:412] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:412] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 1 (146848/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:416] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:420] [Windows] [EAC Launcher] [Info] Current progress: 2 (163232/7841688).
[19:41:48:425] [Windows] [EAC Launcher] [Info] Current progress: 2 (179616/7841688).
[19:41:48:425] [Windows] [EAC Launcher] [Info] Current progress: 2 (179616/7841688).
[19:41:48:429] [Windows] [EAC Launcher] [Info] Current progress: 2 (196000/7841688).
[19:41:48:429] [Windows] [EAC Launcher] [Info] Current progress: 2 (196000/7841688).
[19:41:48:434] [Windows] [EAC Launcher] [Info] Current progress: 2 (212384/7841688).
[19:41:48:434] [Windows] [EAC Launcher] [Info] Current progress: 2 (212384/7841688).
[19:41:48:438] [Windows] [EAC Launcher] [Info] Current progress: 2 (228768/7841688).
[19:41:48:438] [Windows] [EAC Launcher] [Info] Current progress: 2 (228768/7841688).
